Country,LAD code,LAD name,Rural Urban Classification (Note 1),Count (Note 3),"Libraries per 100,000 people"
England,E08000024,Sunderland,Urban with Major Conurbation,6,2.134790684
England,E06000032,Luton,Urban with City and Town,5,2.164239832
England,E09000030,Tower Hamlets,Urban with Major Conurbation,8,2.43437829
England,E08000014,Sefton,Urban with Major Conurbation,7,2.475729014
England,E08000002,Bury,Urban with Major Conurbation,5,2.557858765
England,E06000055,Bedford,Urban with Significant Rural,5,2.633089509
England,E09000015,Harrow,Urban with Major Conurbation,7,2.657070845
England,E06000021,Stoke-on-Trent,Urban with City and Town,7,2.660009044
England,E09000013,Hammersmith and Fulham,Urban with Major Conurbation,5,2.685630801
England,E09000002,Barking and Dagenham,Urban with Major Conurbation,6,2.698958202
England,E09000005,Brent,Urban with Major Conurbation,10,2.902580684
England,E06000042,Milton Keynes,Urban with City and Town,9,3.017400342
England,E09000025,Newham,Urban with Major Conurbation,11,3.03404753
England,E09000012,Hackney,Urban with Major Conurbation,8,3.038567012
England,E07000106,Canterbury,Urban with City and Town,5,3.126191861
England,E08000011,Knowsley,Urban with Major Conurbation,5,3.139855441
England,E07000228,Mid Sussex,Urban with City and Town,5,3.16626033
England,E09000022,Lambeth,Urban with Major Conurbation,10,3.167503944
England,E08000025,Birmingham,Urban with Major Conurbation,37,3.173108506
England,E06000008,Blackburn with Darwen,Urban with City and Town,5,3.174542707
England,E07000146,King's Lynn and West Norfolk,Largely Rural,5,3.210107988
England,E09000024,Merton,Urban with Major Conurbation,7,3.252500941
England,E07000242,East Hertfordshire,Urban with Significant Rural,5,3.259643656
England,E07000222,Warwick,Urban with City and Town,5,3.264709147
England,E09000008,Croydon,Urban with Major Conurbation,13,3.26845862
England,E06000033,Southend-on-Sea,Urban with City and Town,6,3.291801768
England,E08000001,Bolton,Urban with Major Conurbation,10,3.30706422
England,E09000014,Haringey,Urban with Major Conurbation,9,3.423419997
England,E07000143,Breckland,Mainly Rural,5,3.446350659
England,E08000030,Walsall,Urban with Major Conurbation,10,3.463371384
England,E09000009,Ealing,Urban with Major Conurbation,13,3.463526403
England,E09000026,Redbridge,Urban with Major Conurbation,11,3.50998111
England,E07000071,Colchester,Urban with Significant Rural,7,3.553335567
England,E09000032,Wandsworth,Urban with Major Conurbation,12,3.620390037
England,E09000031,Waltham Forest,Urban with Major Conurbation,10,3.623450975
England,E07000066,Basildon,Urban with City and Town,7,3.673692166
England,E07000084,Basingstoke and Deane,Urban with Significant Rural,7,3.680375188
England,E07000099,North Hertfordshire,Urban with Significant Rural,5,3.687424408
England,E09000018,Hounslow,Urban with Major Conurbation,11,3.719910993
England,E09000016,Havering,Urban with Major Conurbation,10,3.729325551
England,E08000012,Liverpool,Urban with Major Conurbation,19,3.771787033
England,E07000216,Waverley,Largely Rural,5,3.783693793
England,E09000029,Sutton,Urban with Major Conurbation,8,3.789260289
England,E08000003,Manchester,Urban with Major Conurbation,22,3.793646332
England,E09000028,Southwark,Urban with Major Conurbation,12,3.80325749
England,E07000123,Preston,Urban with City and Town,6,3.836047337
England,E07000211,Reigate and Banstead,Urban with City and Town,6,3.846523704
England,E06000062,West Northamptonshire,Urban with Significant Rural,17,3.913903336
England,E06000038,Reading,Urban with City and Town,7,3.928258771
England,E07000090,Havant,Urban with City and Town,5,3.978294426
England,E08000015,Wirral,Urban with Major Conurbation,13,4.001822368
England,E09000023,Lewisham,Urban with Major Conurbation,12,4.017301177
England,E07000240,St Albans,Urban with City and Town,6,4.033477866
England,E09000020,Kensington and Chelsea,Urban with Major Conurbation,6,4.068900041
England,E06000026,Plymouth,Urban with City and Town,11,4.093236485
England,E09000021,Kingston upon Thames,Urban with Major Conurbation,7,4.106679808
England,E07000180,Vale of White Horse,Largely Rural,6,4.110433651
England,E06000049,Cheshire East,Urban with Significant Rural,17,4.121631778
England,E07000177,Cherwell,Urban with Significant Rural,7,4.208728904
England,E06000056,Central Bedfordshire,Largely Rural,13,4.216644718
England,E09000006,Bromley,Urban with Major Conurbation,14,4.227538184
England,E06000018,Nottingham,Urban with Minor Conurbation,14,4.251752329
England,E06000044,Portsmouth,Urban with City and Town,9,4.279661621
England,E08000027,Dudley,Urban with Major Conurbation,14,4.285539366
England,E06000045,Southampton,Urban with City and Town,11,4.29502948
England,E08000013,St. Helens,Urban with Major Conurbation,8,4.301491542
England,E09000003,Barnet,Urban with Major Conurbation,17,4.3037212
England,E07000105,Ashford,Urban with Significant Rural,6,4.33892814
England,E06000061,North Northamptonshire,Urban with Significant Rural,16,4.347932422
England,E06000010,"Kingston upon Hull, City of",Urban with City and Town,12,4.41270565
England,E09000011,Greenwich,Urban with Major Conurbation,13,4.420069837
England,E07000096,Dacorum,Urban with Significant Rural,7,4.43523605
England,E07000081,Gloucester,Urban with City and Town,6,4.44474076
England,E06000004,Stockton-on-Tees,Urban with City and Town,9,4.446310797
England,E07000229,Worthing,Urban with City and Town,5,4.454739843
England,E07000174,Mansfield,Urban with City and Town,5,4.460661427
England,E06000016,Leicester,Urban with City and Town,17,4.476275739
England,E07000113,Swale,Largely Rural,7,4.490259345
England,E09000019,Islington,Urban with Major Conurbation,10,4.533420375
England,E06000031,Peterborough,Urban with City and Town,10,4.555621865
England,E07000091,New Forest,Urban with Significant Rural,8,4.561055428
England,E08000035,Leeds,Urban with Major Conurbation,38,4.58155346
England,E06000043,Brighton and Hove,Urban with City and Town,13,4.648884089
England,E07000008,Cambridge,Urban with City and Town,7,4.667818062
England,E07000227,Horsham,Largely Rural,7,4.683402023
England,E07000225,Chichester,Largely Rural,6,4.687390139
England,E08000008,Tameside,Urban with Major Conurbation,11,4.687513317
England,E06000020,Telford and Wrekin,Urban with City and Town,9,4.689576114
England,E07000032,Amber Valley,Urban with Minor Conurbation,6,4.698181021
England,E08000036,Wakefield,Urban with City and Town,17,4.698910406
England,E07000224,Arun,Urban with City and Town,8,4.761678015
England,E07000034,Chesterfield,Urban with City and Town,5,4.767216803
England,E07000217,Woking,Urban with Major Conurbation,5,4.778470125
England,E09000004,Bexley,Urban with Major Conurbation,12,4.78367809
England,E07000148,Norwich,Urban with City and Town,7,4.807989505
England,E07000121,Lancaster,Urban with Significant Rural,7,4.809046503
England,E07000213,Spelthorne,Urban with Major Conurbation,5,4.809819728
England,E08000016,Barnsley,Urban with Minor Conurbation,12,4.829965104
England,E07000138,Lincoln,Urban with City and Town,5,4.839615154
England,E07000178,Oxford,Urban with City and Town,8,4.843084076
England,E07000065,Wealden,Mainly Rural,8,4.858702848
England,E07000063,Lewes,Urban with Significant Rural,5,4.933107068
Wales,W06000015,Cardiff,Wales,19,4.953902632
England,E07000086,Eastleigh,Urban with City and Town,7,4.966300106
England,E07000127,West Lancashire,Urban with Significant Rural,6,4.970878934
England,E07000197,Stafford,Urban with Significant Rural,7,4.975937787
England,E07000207,Elmbridge,Urban with Major Conurbation,7,4.982206406
England,E08000026,Coventry,Urban with City and Town,18,4.990268975
England,E08000010,Wigan,Urban with Major Conurbation,17,5.012176641
England,E09000017,Hillingdon,Urban with Major Conurbation,16,5.015390981
England,E07000202,Ipswich,Urban with City and Town,7,5.022313421
England,E07000118,Chorley,Urban with Significant Rural,6,5.027146592
England,E08000009,Trafford,Urban with Major Conurbation,12,5.0530571
England,E07000083,Tewkesbury,Largely Rural,5,5.055816211
England,E08000019,Sheffield,Urban with Minor Conurbation,29,5.058857187
England,E07000108,Dover,Urban with Significant Rural,6,5.059405857
England,E07000128,Wyre,Largely Rural,6,5.128468127
England,E08000032,Bradford,Urban with Major Conurbation,29,5.176778045
England,E07000117,Burnley,Urban with City and Town,5,5.184839529
England,E09000010,Enfield,Urban with Major Conurbation,17,5.191965281
England,E07000073,Harlow,Urban with City and Town,5,5.206164098
England,E07000198,Staffordshire Moorlands,Largely Rural,5,5.220024012
